2026-01-14,SURCO,1,ACCORD,4
2026-01-14,SURCO,2,CIVIC,4
2026-01-14,SURCO,3,ODISSEY,4
2026-01-14,SURCO,4,CRV,4
2026-01-14,SURCO,5,PILOT,4
2026-01-14,SURCO,6,FIT,4
2026-01-14,SURCO,7,CITY,4
2026-01-14,SURCO,8,ELEMENT,4
2026-01-14,SURCO,9,CROSSTOUR,4
2026-01-14,SURCO,10,CR-Z,4
2026-01-14,SURCO,11,RID LINE,4
2026-01-14,SURCO,38,ACEITE,0
2026-01-14,SURCO,39,FILTRO,10
2026-01-14,SURCO,40,AMORT DEL,0
2026-01-14,SURCO,41,AMORT POS,0
2026-01-14,SURCO,42,LLANTAS,0
2026-01-14,SURCO,43,BATERIA,8
2026-01-14,LA MOLINA,1,ACCORD,2
2026-01-14,LA MOLINA,2,CIVIC,2
2026-01-14,LA MOLINA,3,ODISSEY,2
2026-01-14,LA MOLINA,4,CRV,2
2026-01-14,LA MOLINA,5,PILOT,2
2026-01-14,LA MOLINA,6,FIT,2
2026-01-14,LA MOLINA,7,CITY,2
2026-01-14,LA MOLINA,8,ELEMENT,2
2026-01-14,LA MOLINA,9,CROSSTOUR,2
2026-01-14,LA MOLINA,10,CR-Z,2
2026-01-14,LA MOLINA,11,RID LINE,2
2026-01-14,LA MOLINA,38,ACEITE,13
2026-01-14,LA MOLINA,39,FILTRO,34
2026-01-14,LA MOLINA,40,AMORT DEL,26
2026-01-14,LA MOLINA,41,AMORT POS,16
2026-01-14,LA MOLINA,42,LLANTAS,18
2026-01-14,LA MOLINA,43,BATERIA,28
2026-01-31,SURCO,1,ACCORD,4
2026-01-31,SURCO,2,CIVIC,4
2026-01-31,SURCO,3,ODISSEY,4
2026-01-31,SURCO,4,CRV,4
2026-01-31,SURCO,5,PILOT,4
2026-01-31,SURCO,6,FIT,4
2026-01-31,SURCO,7,CITY,4
2026-01-31,SURCO,8,ELEMENT,4
2026-01-31,SURCO,9,CROSSTOUR,4
2026-01-31,SURCO,10,CR-Z,4
2026-01-31,SURCO,11,RID LINE,4
2026-01-31,SURCO,38,ACEITE,0
2026-01-31,SURCO,39,FILTRO,9
2026-01-31,SURCO,40,AMORT DEL,0
2026-01-31,SURCO,41,AMORT POS,0
2026-01-31,SURCO,42,LLANTAS,0
2026-01-31,SURCO,43,BATERIA,0
2026-01-31,LA MOLINA,1,ACCORD,2
2026-01-31,LA MOLINA,2,CIVIC,2
2026-01-31,LA MOLINA,3,ODISSEY,2
2026-01-31,LA MOLINA,4,CRV,2
2026-01-31,LA MOLINA,5,PILOT,2
2026-01-31,LA MOLINA,6,FIT,2
2026-01-31,LA MOLINA,7,CITY,2
2026-01-31,LA MOLINA,8,ELEMENT,2
2026-01-31,LA MOLINA,9,CROSSTOUR,2
2026-01-31,LA MOLINA,10,CR-Z,2
2026-01-31,LA MOLINA,11,RID LINE,2
2026-01-31,LA MOLINA,38,ACEITE,6
2026-01-31,LA MOLINA,39,FILTRO,33
2026-01-31,LA MOLINA,40,AMORT DEL,0
2026-01-31,LA MOLINA,41,AMORT POS,0
2026-01-31,LA MOLINA,42,LLANTAS,0
2026-01-31,LA MOLINA,43,BATERIA,13
